"[0.46890446404118774, 0.43089274694534907, 0.43089274694534907, 0.43089274694534907, 0.43089274694534907, 0.43089274694534907, 0.43089274694534907, 0.43068914106274797, 0.43068914106274797, 0.43068914106274797, 0.426760031066035, 0.426760031066035, 0.426760031066035, 0.426760031066035, 0.42554734367285557, 0.42434763934133474, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353]","[0.4326563053047802, 0.4326563053047802, 0.43089274694534907, 0.43089274694534907, 0.43089274694534907, 0.43089274694534907, 0.43068914106274797, 0.43068914106274797, 0.43068914106274797, 0.4277789800758479, 0.4277789800758479, 0.426760031066035, 0.426760031066035, 0.426760031066035, 0.426760031066035, 0.424560803309355, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353, 0.42411460941566353]"
"[0.4224523386496961, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986]","[0.41362074648515706, 0.41271440812340376, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986, 0.4118638293960986]"
"[0.45085092889170053, 0.4469648572228848, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864]","[0.4505562290662286, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44602782746613634, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864, 0.44501105262046864]"
"[0.47552268449387786, 0.4683276302806431, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354]","[0.47006809038587927, 0.4678499482249755, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4674147241930696, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354, 0.4671833966368354]"
"[0.4745501800689592, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613]","[0.41860933570218817, 0.41550515149822465, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613, 0.41360162033084613]"
"[0.4483957448820865, 0.4483957448820865, 0.4483957448820865, 0.4483957448820865, 0.4478325143854464, 0.4478325143854464, 0.44529423136524937, 0.44529423136524937, 0.44529423136524937, 0.44529423136524937, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867]","[0.46049411475060664, 0.4486263851744171, 0.4486263851744171, 0.4486263851744171, 0.4486263851744171, 0.44529423136524937, 0.44529423136524937, 0.44529423136524937, 0.44529423136524937, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867, 0.43806773636938867]"
"[0.47013620859989624, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219]","[0.41173381999603836, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219, 0.395270532150219]"
"[0.4399337616909287, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754]","[0.4206088836892234, 0.4182682776801727, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754, 0.4141664213624754]"
"[0.46114625318577895, 0.46114625318577895, 0.4541982736565828, 0.4541982736565828, 0.4503804164927119, 0.4503804164927119, 0.4503804164927119, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4469723797491953, 0.4469723797491953, 0.4469723797491953, 0.4469723797491953, 0.4469723797491953, 0.4469723797491953, 0.4469442888726116, 0.4469442888726116, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.4448139400726113, 0.444408732866414, 0.444408732866414, 0.444408732866414, 0.444408732866414, 0.444408732866414, 0.444408732866414, 0.444408732866414, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126]","[0.47584941170976003, 0.45458260455377897, 0.45458260455377897, 0.4503804164927119, 0.4503804164927119, 0.4503804164927119, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4472917281506815, 0.4469723797491953, 0.4469723797491953, 0.4469723797491953, 0.4469723797491953, 0.4469723797491953, 0.4469723797491953, 0.4469442888726116, 0.4469442888726116, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.44560730528287357, 0.4448139400726113, 0.444408732866414, 0.444408732866414, 0.444408732866414, 0.444408732866414, 0.444408732866414, 0.444408732866414, 0.444408732866414, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126, 0.44440351154442126]"
"[0.4323414034912917, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825]","[0.38497172081626185, 0.38497172081626185, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825, 0.38030295930082825]"
"[0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055]","[0.4350502489966715, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.42783884052240206, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055, 0.4269683144985055]"
"[0.46125444305230556, 0.4588842610830054, 0.44774328741679725, 0.44774328741679725, 0.44774328741679725, 0.44774328741679725, 0.4430102347420336, 0.4430102347420336, 0.4430102347420336, 0.4430102347420336, 0.4430102347420336, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409]","[0.4662373700303881, 0.4534953179261145, 0.4534953179261145, 0.44774328741679725, 0.44774328741679725, 0.4430102347420336, 0.4430102347420336, 0.4430102347420336, 0.4430102347420336, 0.4430102347420336, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409, 0.4418100805300409]"
